Station,Postcode,Latitude,Longitude,TLC,NLC,Owner,Entries and exits 2024, Interchanges 2024
Ardrossan South Beach,KA22 8AU,55.641422142645,-4.80121264089138,ASB,9569,ScotRail,171736,314
Ardrossan Town,KA22 8AU,55.6397124556587,-4.81267645169651,ADN,9455,ScotRail,17304,0
Ardwick,M12 6LY,53.471345820655,-2.21388417456067,ADK,2960,Northern Trains,396,0
Argyle Street,G2 8DL,55.8573090626122,-4.25069486323156,AGS,9961,ScotRail,1270566,0
Arisaig,PH39 4NJ,56.9125537431151,-5.83907949880085,ARG,8821,ScotRail,6078,0
Arlesey,SG15 6XA,52.0260300130868,-0.266319838272065,ARL,6171,Govia Thameslink Railway (Great Northern),592464,0
Armadale (West Lothian),EH48 3LP,55.8857140292087,-3.69541334262219,ARM,990,ScotRail,213400,0
Armathwaite,CA4 9PL,54.8094679848183,-2.77207147292765,AWT,2054,Northern Trains,11432,0
Arnside,LA5 0HQ,54.2027315043991,-2.82824189170434,ARN,1963,Northern Trains,106286,0
Arram,HU17 7NR,53.8843427696163,-0.426570132093475,ARR,8045,Northern Trains,1790,0
Arrochar and Tarbet,G83 7DB,56.2039766194239,-4.72277124702392,ART,9963,ScotRail,21686,0
Arundel,BN18 9PH,50.84821399905,-0.546174298416944,ARU,5251,Govia Thameslink Railway (Southern),279888,0
Ascot (Berks),SL5 9EG,51.406243053303,-0.675833255037063,ACT,5666,South Western Railway,857346,259813
Ascott-Under-Wychwood,OX3 5LP,51.8673416456497,-1.56405280921503,AUW,3003,Great Western Railway,1392,0
Ash,GU12 6JW,51.2495967734882,-0.712805474371656,ASH,5641,South Western Railway,232930,36416
Ash Vale,GU12 5LP,51.2722464128127,-0.72164859629209,AHV,5547,South Western Railway,328490,91576
Ashburys,M12 5BY,53.471639721401,-2.19443661452133,ABY,2941,Northern Trains,89420,0
Ashchurch for Tewkesbury,GL20 8TU,51.9989057939667,-2.10876020926952,ASC,4700,Great Western Railway,93894,0
Ashfield,G22 6LR,55.8889269328418,-4.24921509407071,ASF,9953,ScotRail,69608,0
Ashford (Surrey),TW15 2QN,51.4365062586203,-0.468070995385795,AFS,5667,South Western Railway,762484,0
Ashford International,TN23 1EZ,51.1437026741936,0.876197214386404,AFK,5004,Southeastern,3510838,861778
Ashley,WA14 3QE,53.3557258053839,-2.34146074338483,ASY,2850,Northern Trains,8248,0
Ashtead,KT21 2DR,51.317872587997,-0.307571763628547,AHD,5347,Govia Thameslink Railway (Southern),933800,0
Ashton-Under-Lyne,OL6 6JP,53.4912746360398,-2.09431253377749,AHN,2790,Northern Trains,154486,0
Ashurst (Kent),TN3 9TL,51.1286608253579,0.152652111896866,AHS,5398,Govia Thameslink Railway (Southern),27422,0
Ashurst New Forest,SO40 7AA,50.8898511647037,-1.52663085660955,ANF,5906,South Western Railway,101806,0
Ashwell and Morden,SG7 5RT,52.0307706434447,-0.109788918120069,AWM,6083,Govia Thameslink Railway (Great Northern),146024,0
Askam,LA16 7EN,54.1889331625586,-3.20451175494515,ASK,1953,Northern Trains,64180,0
Aslockton,NG13 9AA,52.9515495737311,-0.898097621841918,ALK,6233,East Midlands Railway,23194,0
Aspatria,CA7 2AW,54.7589599137074,-3.33187421074512,ASP,2095,Northern Trains,28040,0
Aspley Guise,MK17 8XF,52.0212361960308,-0.632334507265971,APG,1380,West Midlands Trains (London Northwestern Railway),3320,0
Aston,B6 7PR,52.5042320347358,-1.8719337575538,AST,1004,West Midlands Trains (West Midlands Railway),632440,26623
Atherstone,CV9 1BH,52.5789720633612,-1.55281147568713,ATH,1074,West Midlands Trains (London Northwestern Railway),106942,0
Atherton,M46 9RH,53.5291462480773,-2.47897234425216,ATN,2584,Northern Trains,204852,0
Attadale,IV54 8YX,57.3950433711996,-5.4555786528295,ATT,8608,ScotRail,1344,0
Attenborough,NG9 6AL,52.9062133028873,-1.23141560765685,ATB,1624,East Midlands Railway,68916,0
Attleborough,NR17 2AS,52.5145445883409,1.02234755537498,ATL,7367,Greater Anglia,172376,0
Auchinleck,KA18 2BH,55.4702784722357,-4.29535018687193,AUK,9457,ScotRail,61900,0
Audley End,CB11 4LB,52.0044405435161,0.207160027997398,AUD,7017,Greater Anglia,751334,4653
Aughton Park,L39 5BT,53.5542504500956,-2.89522128047861,AUG,2215,Merseyrail,162460,0
Aviemore,PH22 1PD,57.1885162452285,-3.82886797624022,AVM,8610,ScotRail,130090,79
Avoncliff,BA15 2HD,51.3396528744674,-2.28132558221387,AVF,3265,Great Western Railway,24136,0
Avonmouth,BS11 9JB,51.5003648679963,-2.69946651797304,AVN,3200,Great Western Railway,134538,0
Axminster,EX13 5PF,50.7792744117621,-3.00472359764506,AXM,5714,South Western Railway,379754,0
Aylesbury,HP20 1RU,51.8138902206829,-0.815095998270687,AYS,1492,Chiltern Railways,852610,2470
Aylesbury Vale Parkway,HP18 0PS,51.8311587338339,-0.860182437861177,AVP,1090,Chiltern Railways,108894,0
Aylesford,ME20 7LL,51.3013153585378,0.466170568242092,AYL,5162,Southeastern,152216,0
Aylesham,CT3 3AS,51.2272505439136,1.2094526827124,AYH,5197,Southeastern,100646,0
Ayr,KA7 1TH,55.4581477383334,-4.62587677242484,AYR,9463,ScotRail,684190,41806
Bache,CH2 1BS,53.2087886904783,-2.89167051075084,BAC,2187,Merseyrail,403316,0
Baglan,SA12 8ES,51.615545271975,-3.81113654529303,BAJ,4186,TfW Rail,25040,0
Bagshot,GU19 5AS,51.3643669407293,-0.688661997063008,BAG,5681,South Western Railway,114140,0
Baildon,BD17 6HS,53.8502255005868,-1.75363638811678,BLD,8552,Northern Trains,198294,0
